POCO;CADASTRO;OPERADOR;POCO_OPERADOR;ESTADO;BACIA;BLOCO;SIG_CAMPO;CAMPO;TERRA_MAR;POCO_POS_ANP;TIPO;CATEGORIA;RECLASSIFICACAO;SITUACAO;INÍCIO;TÉRMINO;CONCLUSAO;TITULARIDADE;LATITUDE_BASE_4C;LONGITUDE_BASE_4C;LATITUDE_BASE_DD;LONGITUDE_BASE_DD;DATUM_HORIZONTAL;TIPO_DE_COORDENADA_DE_BASE;DIRECAO;PROFUNDIDADE_VERTICAL_M;PROFUNDIDADE_SONDADOR_M;PROFUNDIDADE_MEDIDA_M;REFERENCIA_DE_PROFUNDIDADE;MESA_ROTATIVA;COTA_ALTIMETRICA_M;LAMINA_D_AGUA_M;DATUM_VERTICAL;UNIDADE_ESTRATIGRAFICA;GEOLOGIA_GRUPO_FINAL;GEOLOGIA_FORMACAO_FINAL;GEOLOGIA_MEMBRO_FINAL;CDPE;AGP;PC;PAG;PERFIS_CONVENCIONAIS;DURANTE_PERFURACAO;PERFIS_DIGITAIS;PERFIS_PROCESSADOS;PERFIS_ESPECIAIS;AMOSTRA_LATERAL;SISMICA;TABELA_TEMPO_PROFUNDIDADE;DADOS_DIRECIONAIS;TESTE_A_CABO;TESTE_DE_FORMACAO;CANHONEIO;TESTEMUNHO;GEOQUIMICA;SIG_SONDA;NOM_SONDA;ATINGIU_PRESAL;DHA_ATUALIZACAO
1-BRSA-1209-BA;20240027307;3R Bahia;1TBA1BA;BA;Recôncavo;REC-T-235;;;T;S;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;31/10/2013;10/11/2013;15/11/2013;Público;"	-12:36:02,015";"	-38:35:37,346";-12,60055972;-38,59370722;SIRGAS2000;Definitiva;Vertical;-1222,2;1308;1308;MR;84,3;79,8;0;NM;;Brotas;Sergi;;Existe;;Existe;Existe;Existe;;;;;;Existe;;Existe;;;;;;SC-82;SONDA CONVENCIONAL 82;I;14/09/2025
1-BRSA-1213D-BA;20240027334;3R Bahia;1VCR1DBA;BA;Recôncavo;REC-T-235;;;T;S;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;21/11/2013;29/11/2013;01/12/2013;Público;"	-12:36:27,488";"	-38:34:52,714";-12,60763556;-38,58130944;SIRGAS2000;Definitiva;Direcional;-782,4;872;872;MR;65,3;60,8;0;NM;;Santo Amaro;Candeias;Gomo;Existe;;Existe;Existe;Existe;;;;;;;;Existe;;;;;;SC-82;SONDA CONVENCIONAL 82;I;14/09/2025
1-BRSA-1219D-BA;20240027403;Petrobras;1MOM1DBA;BA;Recôncavo;REC-T-220;;;T;S;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;13/01/2014;18/02/2014;25/02/2014;Público;"	-12:33:00,234";"	-38:34:25,620";-12,550065;-38,57378333;SIRGAS2000;Definitiva;Direcional;-1722,4;1833;1837,9;MR;70,4;65,6;0;NM;;;Embasamento;;Existe;;Existe;Existe;Existe;;;;;;Existe;;Existe;;;;;;SC-116;Sonda de Perfuração Terrestre UPET - F 100;I;14/09/2025
1-BRSA-122-RJS;74316019758;Petrobras;1RJS576;RJ;Santos;BS-500;;;M;S;1;Pioneiro;INDEFINIDO;ABANDONADO PERMANENTEMENTE;24/12/2001;17/01/2002;20/01/2002;Público;"	-24:36:29,987";"	-42:52:08,317";-24,60832972;-42,86897694;SIRGAS2000;Definitiva;Vertical;;4029;;MR;18;0;1704;NM;;;;;Existe;Existe;Existe;;Existe;Existe;;;;;Existe;;Existe;;;;;Existe;NS-14;DISCOVER SEVEN SEAS;S;14/09/2025
1-BRSA-1221-MA;50090027412;Petrobras;1LDM1MA;MA;Parnaíba;PN-T-86;;;T;S;1;Pioneiro;PORTADOR DE GÁS NATURAL;ARRASADO;28/01/2014;01/04/2014;19/04/2014;Público;"	-05:12:52,516";"	-44:04:23,169";-5,214587778;-44,0731025;SIRGAS2000;Definitiva;Vertical;-2513,3;2640;2642,5;MR;128,8;119,5;0;NM;;Canindé;Itaim;;Existe;;Existe;Existe;Existe;Existe;;;;Existe;Existe;;Existe;Existe;;;Existe;;SC-109;SONDA CONVENCIONAL 109;I;14/09/2025
1-BRSA-1236-AM;14020027518;Petrobras;1NIG1AM;AM;Solimões;SOL-T-193;;;T;S;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO AGUARDANDO ABANDONO DEFINITIVO/ARRASAMENTO;25/03/2014;11/05/2014;07/06/2014;Público;"	-05:28:16,253";"	-65:58:59,365";-5,471181389;-65,98315694;SIRGAS2000;Definitiva;Vertical;-1973;2064;2066;MR;93,25;88,75;0;NM;;;Embasamento;;Existe;;Existe;Existe;Existe;Existe;;;;Existe;Existe;;;Existe;;;;;SM-15 (QG-04);QUEIROZ GALVÃO 04 (QG-04);I;14/09/2025
1-BRSA-124-RJS;74316019760;Petrobras;1RJS577;RJ;Santos;BS-500;;;M;S;1;Pioneiro;SECO COM INDÍCIOS DE PETRÓLEO E GÁS NATURAL;ABANDONADO PERMANENTEMENTE;25/12/2001;04/03/2002;11/03/2002;Público;"	-24:23:15,333";"	-43:04:43,363";-24,3875925;-43,07871194;SIRGAS2000;Definitiva;Vertical;;5637;;MR;14;0;1202;NM;;;;;Existe;Existe;Existe;;Existe;Existe;;;;;Existe;;Existe;;;;;Existe;NS-21;OCEAN CLIPPER;N;14/09/2025
1-BRSA-1240-ES;34270027552;Petrobras;1TBB1ES;ES;Espírito Santo;ES-T-495;4319;PA-1BRSA1240ES-1BRSA1241ES-4BRSA1176ES-E;T;S;1;Pioneiro;PORTADOR DE PETRÓLEO;ARRASADO;18/04/2014;26/04/2014;30/04/2014;Público;"	-19:16:55,650";"	-39:52:47,118";-19,282125;-39,879755;SIRGAS2000;Definitiva;Vertical;-1255,2;1272;1268;MR;12,8;7,3;0;NM;;;Embasamento;;Existe;;Existe;Existe;Existe;;;;;Existe;;;Existe;;;;;;GREAT128 (OIL 128/TUS 128/DF-08);GREAT - 128;I;14/09/2025
1-BRSA-1241-ES;34270027560;Petrobras;1LAP1ES;ES;Espírito Santo;ES-T-495;4319;PA-1BRSA1240ES-1BRSA1241ES-4BRSA1176ES-E;T;S;1;Pioneiro;PORTADOR DE PETRÓLEO;ARRASADO;02/05/2014;11/05/2014;14/05/2014;Público;"	-19:16:35,503";"	-39:52:39,121";-19,27652861;-39,87753361;SIRGAS2000;Definitiva;Vertical;-1219,2;1233;1232,5;MR;13,3;7,8;0;NM;;;Embasamento;;Existe;;Existe;Existe;Existe;;;;;Existe;;;Existe;Existe;;;;;GREAT128 (OIL 128/TUS 128/DF-08);GREAT - 128;I;14/09/2025
1-BRSA-125-RJS;74281019787;Petrobras;1RJS573;RJ;Campos;BC-200;;;M;S;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;18/01/2002;27/02/2002;03/03/2002;Público;"	-23:23:19,938";"	-39:59:18,829";-23,38887167;-39,98856361;SIRGAS2000;Definitiva;Vertical;5634;5658;5658;MR;24;0;2849;NM;;;;;Existe;Existe;Existe;;;Existe;Existe;;;;;;Existe;;;;;Existe;NS-22;DEEPWATER FRONTIER;I;14/09/2025
