POCO;CADASTRO;OPERADOR;POCO_OPERADOR;ESTADO;BACIA;BLOCO;SIG_CAMPO;CAMPO;TERRA_MAR;POCO_POS_ANP;TIPO;CATEGORIA;RECLASSIFICACAO;SITUACAO;INÍCIO;TÉRMINO;CONCLUSAO;TITULARIDADE;LATITUDE_BASE_4C;LONGITUDE_BASE_4C;LATITUDE_BASE_DD;LONGITUDE_BASE_DD;DATUM_HORIZONTAL;TIPO_DE_COORDENADA_DE_BASE;DIRECAO;PROFUNDIDADE_VERTICAL_M;PROFUNDIDADE_SONDADOR_M;PROFUNDIDADE_MEDIDA_M;REFERENCIA_DE_PROFUNDIDADE;MESA_ROTATIVA;COTA_ALTIMETRICA_M;LAMINA_D_AGUA_M;DATUM_VERTICAL;UNIDADE_ESTRATIGRAFICA;GEOLOGIA_GRUPO_FINAL;GEOLOGIA_FORMACAO_FINAL;GEOLOGIA_MEMBRO_FINAL;CDPE;AGP;PC;PAG;PERFIS_CONVENCIONAIS;DURANTE_PERFURACAO;PERFIS_DIGITAIS;PERFIS_PROCESSADOS;PERFIS_ESPECIAIS;AMOSTRA_LATERAL;SISMICA;TABELA_TEMPO_PROFUNDIDADE;DADOS_DIRECIONAIS;TESTE_A_CABO;TESTE_DE_FORMACAO;CANHONEIO;TESTEMUNHO;GEOQUIMICA;SIG_SONDA;NOM_SONDA;ATINGIU_PRESAL;DHA_ATUALIZACAO
1-AA-1-RN;7,21001E+11;;1AA  0001  RN;RN;Potiguar;Brasil;;;T;N;1;Pioneiro;SECO SEM INDÍCIOS;CEDIDO PARA A CAPTAÇÃO DE ÁGUA;21/01/1984;29/01/1984;29/01/1984;Público;"	-04:55:05,108";"	-37:13:28,721";-4,918085556;-37,22464472;SIRGAS2000;Definitiva;Vertical;;1062;;MR;14;;;;;;;;;;Existe;;;;Existe;;;;;;;;;;;Existe;CC-1                          ;;;14/09/2025
1-ABV-1D-RN;7,21001E+11;PetroRecôncavo;1ABV 0001D RN;RN;Potiguar;BT-POT-9;PAT  ;PATATIVA;T;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO;17/03/1997;23/05/1997;23/05/1997;Público;"	-05:25:05,784";"	-37:38:39,104";-5,418273333;-37,64419556;SIRGAS2000;Definitiva;Direcional;;3755;;MR;106;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SC-110;SONDA CONVENCIONAL 110;;14/09/2025
1-AB-1A-SE;9,012E+11;;1AB  0001A SE;SE;Sergipe;Brasil;;;T;N;1;Pioneiro;ABANDONADO POR ACIDENTE MECÂNICO;DEVOLVIDO;11/11/1963;30/06/1964;30/06/1964;Público;"	-11:03:09,219";"	-37:08:43,041";-11,05256083;-37,14528917;SIRGAS2000;Definitiva;Vertical;;3341,5;;MR;8;;;;;;;;;;Existe;;;;Existe;;;;;;;;;;;Existe;SC-61;SONDA CONVENCIONAL 61;;14/09/2025
1-AB-1-BA;2,022E+11;;1AB  0001  BA;BA;Tucano Central;Brasil;;;T;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;12/01/1964;21/02/1964;21/02/1964;Público;"	-09:59:16,784";"	-38:40:35,601";-9,987995556;-38,67655583;SIRGAS2000;Definitiva;Vertical;;1670;;MR;304,39999;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SC-53;SONDA CONVENCIONAL 53;;14/09/2025
1-AB-1-PA;6,003E+11;;1AB  0001  PA;PA;Amazonas;Brasil;;;T;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO AGUARDANDO ABANDONO DEFINITIVO/ARRASAMENTO;18/06/1990;16/07/1990;16/07/1990;Público;"	-03:34:49,045";"	-54:50:00,714";-3,580290278;-54,83353167;SIRGAS2000;Definitiva;Vertical;;1380;;MR;96;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SM-1                          ;;;14/09/2025
1-AB-1-SE;9,012E+11;;1AB  0001  SE;SE;Sergipe;Brasil;;;T;N;1;Pioneiro;ABANDONADO POR ACIDENTE MECÂNICO;DEVOLVIDO;14/10/1963;17/10/1963;17/10/1963;Público;"	-11:03:09,403";"	-37:08:43,146";-11,05261194;-37,14531833;SIRGAS2000;Definitiva;Vertical;;195;;MR;8;;;;;;;;;;;;;;;;;;;;;;;;;;SC-61;SONDA CONVENCIONAL 61;;14/09/2025
1-AB-1-SP;8,63001E+11;;1AB  0001  SP;SP;Paraná;Brasil;;;T;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;04/10/1971;01/11/1971;01/11/1971;Público;"	-22:46:45,159";"	-48:10:55,951";-22,77921083;-48,18220861;SIRGAS2000;Definitiva;Vertical;;1659,5;;MR;502;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SC-60;SONDA CONVENCIONAL 60;;14/09/2025
1-AB-2-SE;9,012E+11;;1AB  0002  SE;SE;Sergipe;Brasil;;;T;N;1;Pioneiro;SECO SEM INDÍCIOS;ARRASADO;06/08/1969;22/10/1969;22/10/1969;Público;"	-11:03:14,474";"	-37:07:46,700";-11,05402056;-37,12963889;SIRGAS2000;Definitiva;Vertical;;2822;;MR;11;;;;;;;;;;Existe;;;;Existe;;;;;;;;;;;Existe;SC40;SONDA CONVENCIONAL 40;;14/09/2025
1-AC-1-PA;6,003E+11;;1AC  0001  PA;PA;Amazonas;Brasil;;;T;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO AGUARDANDO ABANDONO DEFINITIVO/ARRASAMENTO;25/04/1954;01/01/1955;01/01/1955;Público;"	-02:31:16,398";"	-54:58:31,269";-2,521221667;-54,9753525;SIRGAS2000;Definitiva;Vertical;;3579,8;;MR;18;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;;SC-22;SONDA CONVENCIONAL 22;;14/09/2025
1-AD-1A-AM;1,403E+11;;1AD  0001A AM;AM;Amazonas;Brasil;;;T;N;1;Pioneiro;PORTADOR DE PETRÓLEO E GÁS NATURAL;ABANDONADO PERMANENTEMENTE;29/08/1958;30/11/1958;30/11/1958;Público;"	-03:18:07,446";"	-57:05:17,515";-3,302068333;-57,08819861;SIRGAS2000;Definitiva;Vertical;;3578;;MR;55;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SC-14;SONDA CONVENCIONAL 14;;14/09/2025
1-AD-1-AM;1,403E+11;;1AD  0001  AM;AM;Amazonas;Brasil;;;T;N;1;Pioneiro;ABANDONADO POR ACIDENTE MECÂNICO;ABANDONADO PERMANENTEMENTE;30/06/1958;07/07/1958;07/07/1958;Público;"	-03:18:07,446";"	-57:05:17,515";-3,302068333;-57,08819861;SIRGAS2000;Definitiva;Vertical;;776;;MR;55;;;;;;;;;Existe;;;;;;;;;;;;;;;;;SC-14;SONDA CONVENCIONAL 14;;14/09/2025
1-AE-1-RN;7,21E+11;;1AE  0001  RN;RN;Potiguar;Brasil;;;T;N;1;Pioneiro;SECO SEM INDÍCIOS;DEVOLVIDO;25/04/1987;17/05/1987;17/05/1987;Público;"	-05:13:17,047";"	-36:50:50,124";-5,221401944;-36,84725667;SIRGAS2000;Definitiva;Vertical;;1991;;MR;12;;;;;;;;;;Existe;;;;Existe;;;;;;;;;;;Existe;SC-97;SONDA CONVENCIONAL 97;;14/09/2025
1-AF-1-PA;6,005E+11;;1AF  0001  PA;PA;Marajó;Brasil;;;T;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;29/09/1959;12/12/1959;12/12/1959;Público;"	-00:08:29,234";"	-50:10:21,120";-0,141453889;-50,17253333;SIRGAS2000;Definitiva;Vertical;;2778;;MR;6;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SC-24;SONDA CONVENCIONAL 24;;14/09/2025
1-AGIP-1-RJS;74316020184;Eni Oil;1AGIP1RJS;RJ;Santos;BM-S-4;;;M;S;1;Pioneiro;PRODUTOR SUBCOMERCIAL DE PETRÓLEO E GÁS NATURAL;;03/10/2002;;01/12/2002;Público;"	-24:11:59,225";"	-43:15:26,337";-24,19978472;-43,25731583;SIRGAS2000;Definitiva;Vertical;5157;5180;5180;MR;22;0;599;NM;;;;;Existe;;Existe;;;;Existe;;;;;;;;;;;;SS-49;SEDCO 707;I;14/09/2025
1-AGIP-2-RJS;74316020311;Eni Oil;1AGIP2RJS;RJ;Santos;BM-S-4;;;M;S;1;Pioneiro;PRODUTOR SUBCOMERCIAL DE PETRÓLEO;;22/01/2003;16/02/2003;22/02/2003;Público;"	-24:50:22,501";"	-43:22:15,545";-24,83958361;-43,37098472;SIRGAS2000;Definitiva;Vertical;4000,5;4030;4030;MR;24;0;1765;NM;;;;;Existe;;Existe;;Existe;;Existe;;;;;;;;;;;;SAIP;SAIPEM 10000;I;14/09/2025
1-AGIP-3-ESS;34281020448;Petrobras;1AGIP3ESS;ES;Campos;BM-C-4;;;M;S;1;Pioneiro;PRODUTOR SUBCOMERCIAL DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;25/04/2003;24/05/2003;13/06/2003;Público;"	-21:38:43,269";"	-39:29:27,876";-21,6453525;-39,49107667;SIRGAS2000;Definitiva;Vertical;;5065;;MR;24;0;2017;NM;;;;;Existe;Existe;Existe;;;;Existe;;;;;;Existe;;;;;;SAIP;SAIPEM 10000;N;14/09/2025
1-AGN-1-SE;9,012E+11;Carmo;1AGN 0001  SE;SE;Sergipe;AG;AG   ;AGUILHADA;T;N;1;Pioneiro;SECO SEM INDÍCIOS;DEVOLVIDO;10/10/1967;19/11/1967;19/11/1967;Público;"	-10:39:40,600";"	-36:52:12,839";-10,66127778;-36,87023306;SIRGAS2000;Definitiva;Vertical;;1473;;MR;92;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SC-31;SONDA CONVENCIONAL 31;;14/09/2025
1-AG-1-BA;2,024E+11;3R Bahia;1AG  0001  BA;BA;Recôncavo;AG;AG   ;ÁGUA GRANDE;T;N;1;Pioneiro;DESCOBRIDOR DE CAMPO COM PETRÓLEO;ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO;15/09/1950;28/01/1951;28/01/1951;Público;"	-12:24:20,640";"	-38:22:00,094";-12,40573333;-38,36669278;SIRGAS2000;Definitiva;Vertical;;1410;;MR;88;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;;SC-3;SONDA CONVENCIONAL 3;;14/09/2025
1-AG-1-SE;9,012E+11;Carmo;1AG  0001  SE;SE;Sergipe;AG;AG   ;AGUILHADA;T;N;1;Pioneiro;DESCOBRIDOR DE CAMPO COM PETRÓLEO;ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO;20/04/1966;17/07/1966;17/07/1966;Público;"	-10:41:12,530";"	-36:53:17,299";-10,68681389;-36,88813861;SIRGAS2000;Definitiva;Vertical;;1835;;MR;101;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SC-59;SONDA CONVENCIONAL 59;;14/09/2025
1-AG-5-SE;9,012E+11;Carmo;1AG  0005  SE;SE;Sergipe;AG;AG   ;AGUILHADA;T;N;1;Pioneiro;SECO SEM INDÍCIOS;DEVOLVIDO;28/08/1977;07/10/1977;07/10/1977;Público;"	-10:42:04,772";"	-36:52:32,982";-10,70132556;-36,87582833;SIRGAS2000;Definitiva;Vertical;;1783;;MR;8;;;;;;;;;;Existe;;;;Existe;;;;;;;;;;;Existe;SC41;SONDA CONVENCIONAL 41;;14/09/2025
1-AJ-1-AM;1,402E+11;;1AJ  0001  AM;AM;Solimões;Brasil;;;T;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;25/01/1982;26/04/1982;26/04/1982;Público;"	-04:58:39,069";"	-66:26:40,424";-4,977519167;-66,44456222;SIRGAS2000;Definitiva;Vertical;;3340;;MR;81;;;;;;;;;Existe;Existe;;;;Existe;;;;Existe;Existe;;;;;;;SM-2                          ;;;14/09/2025
1-AJ-1-BA;2,024E+11;PetroRecôncavo;1AJ  0001  BA;BA;Recôncavo;BT-REC-10;AJBZ ;ACAJÁ-BURIZINHO;T;N;1;Pioneiro;SECO COM INDÍCIOS DE PETRÓLEO E GÁS NATURAL;ABANDONADO POR LOGÍSTICA EXPLORATÓRIA;22/05/1967;25/08/1967;25/08/1967;Público;"	-12:14:53,352";"	-38:05:01,399";-12,24815333;-38,08372194;SIRGAS2000;Definitiva;Vertical;0;1750,5;0;MR;61;0;0;NM;;;;;;;Existe;;;;Existe;;;;;;;;;;;;SC-34;SONDA CONVENCIONAL 34;;14/09/2025
1-AJ-2-BA;2,024E+11;PetroRecôncavo;1AJ  0002  BA;BA;Recôncavo;BT-REC-10;AJBZ ;ACAJÁ-BURIZINHO;T;N;1;Pioneiro;DESCOBRIDOR DE CAMPO COM GÁS NATURAL;ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO;07/03/1983;17/03/1983;17/03/1983;Público;"	-12:15:25,115";"	-38:05:00,934";-12,25697639;-38,08359278;SIRGAS2000;Definitiva;Vertical;0;1100;0;MR;76,7;0;0;NM;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SC-95;SONDA CONVENCIONAL 95;;14/09/2025
1-ALC-1-RN;7,21E+11;Phoenix Óleo & Gás;1ALC 0001  RN;RN;Potiguar;POT-T-790;PQO  ;PERIQUITO;T;N;1;Pioneiro;PRODUTOR SUBCOMERCIAL DE GÁS NATURAL;EM OBSERVAÇÃO;04/02/1984;27/02/1984;27/02/1984;Público;"	-05:30:48,425";"	-37:25:08,034";-5,513451389;-37,41889833;SIRGAS2000;Definitiva;Vertical;0;1944;0;MR;85;0;0;NM;;;;;;;Existe;;;;Existe;;;;;;;;;;;Existe;SC-82;SONDA CONVENCIONAL 82;;14/09/2025
1-ALG-1-RN;7,21E+11;Petro-Victory;1ALG 0001  RN;RN;Potiguar;ALG_R13AM;4362;Alto Alegre;T;N;1;Pioneiro;DESCOBRIDOR DE CAMPO COM PETRÓLEO;PRODUZINDO;13/06/1993;09/07/1993;09/07/1993;Público;"	-05:03:04,630";"	-36:54:28,573";-5,051286111;-36,90793694;SIRGAS2000;Definitiva;Vertical;0;2562;0;MR;114;0;0;NM;;;;;;Existe;Existe;;;;Existe;;;;;;Existe;;;;;Existe;SC-106;SONDA CONVENCIONAL 106;I;14/09/2025
1-ALG-1-SE;9,012E+11;;1ALG 0001  SE;SE;Sergipe;;ALG  ;ALAGAMAR;T;N;1;Pioneiro;PRODUTOR SUBCOMERCIAL DE PETRÓLEO;DEVOLVIDO;05/03/1972;06/04/1972;06/04/1972;Público;"	-10:37:21,568";"	-36:44:57,729";-10,62265778;-36,74936917;SIRGAS2000;Definitiva;Vertical;;2294;;MR;71;0;0;NM;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SC40;SONDA CONVENCIONAL 40;;14/09/2025
1-ALS-1-AL;081160152200;;1ALS 0001  AL;AL;Alagoas;Brasil;;;M;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;09/06/1970;24/09/1970;24/09/1970;Público;"	-09:58:03,806";"	-35:54:38,553";-9,967723889;-35,91070917;SIRGAS2000;Definitiva;Vertical;;;;MR;20,29999;;23,2;NM;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;P-1;PETROBRAS I;;14/09/2025
1-ALS-10-AL;081160159500;;1ALS 0010  AL;AL;Sergipe;Brasil;;;M;N;1;Pioneiro;DESCOBRIDOR DE CAMPO COM PETRÓLEO;ARRASADO;26/05/1974;21/07/1974;21/07/1974;Público;"	-10:24:23,307";"	-36:14:00,162";-10,40647417;-36,23337833;SIRGAS2000;Definitiva;Vertical;;;;MR;22;;20;NM;;;;;;;Existe;;;;Existe;;;;;;;;;;;Existe;PA11                          ;;;14/09/2025
1-ALS-11-AL;081160163400;;1ALS 0011  AL;AL;Alagoas;Brasil;;;M;N;1;Pioneiro;DESCOBRIDOR DE CAMPO COM PETRÓLEO;ABANDONADO PERMANENTEMENTE;14/08/1975;23/10/1975;23/10/1975;Público;"	-10:14:18,829";"	-36:09:15,599";-10,23856361;-36,15433306;SIRGAS2000;Definitiva;Vertical;;;;MR;20,5;;12;NM;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;PA-2                          ;;;14/09/2025
1-ALS-12A-AL;081210166400;;1ALS 0012A AL;AL;Sergipe;Brasil;;;M;N;1;Pioneiro;SECO SEM INDÍCIOS;ARRASADO;31/08/1976;13/11/1976;13/11/1976;Público;"	-10:26:54,313";"	-36:15:20,523";-10,44842028;-36,25570083;SIRGAS2000;Definitiva;Vertical;;;;MR;23;;23,5;NM;;;;;;;Existe;;;;Existe;;;;;;;;;;;;P-1;PETROBRAS I;;14/09/2025
1-ALS-12-AL;081210166100;;1ALS 0012  AL;AL;Sergipe;Brasil;;;M;N;1;Pioneiro;ABANDONADO POR ACIDENTE MECÂNICO;ARRASADO;03/08/1976;09/08/1976;09/08/1976;Público;"	-10:26:53,874";"	-36:15:17,473";-10,44829833;-36,25485361;SIRGAS2000;Definitiva;Vertical;;;;MR;22;;24;NM;;;;;;;;;;;;;;;;;;;;;;;P-1;PETROBRAS I;;14/09/2025
1-ALS-13-AL;081210103000;;1ALS 0013  AL;AL;Sergipe;Brasil;;;M;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;18/12/1976;06/02/1977;06/02/1977;Público;"	-10:25:47,349";"	-36:16:42,285";-10,42981917;-36,2784125;SIRGAS2000;Definitiva;Vertical;;;;MR;22;;21;NM;;;;;;;Existe;;;;Existe;;;;;;;;;;;Existe;P-1;PETROBRAS I;;14/09/2025
1-ALS-14-AL;081210100100;;1ALS 0014  AL;AL;Sergipe;Brasil;;;M;N;1;Pioneiro;PRODUTOR SUBCOMERCIAL DE PETRÓLEO;ARRASADO;07/10/1976;05/01/1977;05/01/1977;Público;"	-10:30:44,384";"	-36:18:17,874";-10,51232889;-36,304965;SIRGAS2000;Definitiva;Vertical;;;;MR;24,5;;16;NM;;;;;;;Existe;;;;Existe;;;;;;;;;;;Existe;P-1;PETROBRAS I;;14/09/2025
1-ALS-15-AL;081210108800;;1ALS 0015  AL;AL;Sergipe;Brasil;;;M;N;1;Pioneiro;PRODUTOR SUBCOMERCIAL DE GÁS NATURAL;ARRASADO;17/07/1977;31/10/1977;31/10/1977;Público;"	-10:34:31,711";"	-36:19:56,491";-10,57547528;-36,33235861;SIRGAS2000;Definitiva;Vertical;;;;MR;23,5;;23,8;NM;;;;;;;Existe;;;;Existe;;;;;;;;;;;Existe;PA-5                          ;;;14/09/2025
1-ALS-16-AL;081160176700;;1ALS 0016  AL;AL;Alagoas;Brasil;;;M;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;28/10/1980;26/02/1981;26/02/1981;Público;"	-09:38:30,325";"	-35:26:38,330";-9,641756944;-35,44398056;SIRGAS2000;Definitiva;Vertical;;;;MR;26;;33;NM;;;;;;Existe;Existe;;;;Existe;;;;Existe;Existe;;;;;;Existe;PA17                          ;;;14/09/2025
1-ALS-17-AL;081160203100;;1ALS 0017  AL;AL;Alagoas;Brasil;;;M;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;26/12/1981;18/03/1982;18/03/1982;Público;"	-09:34:59,116";"	-35:19:02,792";-9,583087778;-35,31744222;SIRGAS2000;Definitiva;Vertical;;;;MR;25;;34;NM;;;;;;Existe;Existe;;;;Existe;;;;Existe;Existe;;;;;;Existe;P-5;PETROBRAS V;;14/09/2025
1-ALS-18-AL;081160192400;;1ALS 0018  AL;AL;Alagoas;Brasil;;;M;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;18/06/1981;07/07/1981;07/07/1981;Público;"	-10:07:22,109";"	-35:56:25,288";-10,12280806;-35,94035778;SIRGAS2000;Definitiva;Vertical;;;;MR;26;;27;NM;;;;;;Existe;Existe;;;;Existe;;;;Existe;Existe;;;;;;Existe;P-5;PETROBRAS V;;14/09/2025
1-ALS-19-AL;081160194600;;1ALS 0019  AL;AL;Alagoas;Brasil;;;M;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;22/07/1981;01/08/1981;01/08/1981;Público;"	-10:07:51,143";"	-35:55:49,282";-10,13087306;-35,93035611;SIRGAS2000;Definitiva;Vertical;;;;MR;24;;36;NM;;;;;;;Existe;;;;Existe;;;;;;;;;;;;P-5;PETROBRAS V;;14/09/2025
1-ALS-2-AL;081160150300;;1ALS 0002  AL;AL;Alagoas;Brasil;;;M;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;19/11/1968;24/02/1969;24/02/1969;Público;"	-09:42:47,690";"	-35:40:32,770";-9,713247222;-35,67576944;SIRGAS2000;Definitiva;Vertical;;;;MR;20,2;;21,4;NM;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;P-1;PETROBRAS I;;14/09/2025
1-ALS-20-AL;081160709000;;1ALS 0020  AL;AL;Alagoas;Brasil;;;M;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;15/01/1982;25/03/1982;25/03/1982;Público;"	-09:24:42,069";"	-35:13:06,466";-9,411685833;-35,21846278;SIRGAS2000;Definitiva;Vertical;;;;MR;30,5;;32,3;NM;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SAVI                          ;;;14/09/2025
1-ALS-23-AL;081160248700;;1ALS 0023  AL;AL;Alagoas;Brasil;;;M;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;25/10/1983;06/02/1984;06/02/1984;Público;"	-10:22:05,417";"	-36:05:05,250";-10,36817139;-36,08479167;SIRGAS2000;Definitiva;Vertical;;;;MR;27;;25;NM;;;;;;Existe;Existe;;;;Existe;;;;Existe;Existe;;;;;;Existe;PA22                          ;;;14/09/2025
1-ALS-24-AL;081160209000;;1ALS 0024  AL;AL;Alagoas;Brasil;;;M;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;02/04/1982;27/05/1982;27/05/1982;Público;"	-10:15:18,586";"	-36:04:39,607";-10,25516278;-36,07766861;SIRGAS2000;Definitiva;Vertical;;;;MR;30;;22;NM;;;;;;Existe;Existe;;;;Existe;;;;Existe;Existe;;;;;;Existe;PA17                          ;;;14/09/2025
1-ALS-25-AL;081160207300;;1ALS 0025  AL;AL;Alagoas;Brasil;;;M;N;1;Pioneiro;PRODUTOR SUBCOMERCIAL DE PETRÓLEO E GÁS NATURAL;ABANDONADO PERMANENTEMENTE;08/03/1982;13/04/1982;13/04/1982;Público;"	-10:16:49,700";"	-36:07:43,670";-10,28047222;-36,12879722;SIRGAS2000;Definitiva;Vertical;;;;MR;24;;19;NM;;;;;;Existe;Existe;;;;Existe;;;;Existe;Existe;;;;;;Existe;P-1;PETROBRAS I;;14/09/2025
1-ALS-26-ALS;081160234900;Origem Alagoas;1ALS 0026  AL;AL;Alagoas;PARU;PARU ;PARU;M;N;1;Pioneiro;ABANDONADO POR OUTRAS RAZÕES;ARRASADO;22/04/1983;15/06/1983;15/06/1983;Público;"	-10:18:43,558";"	-36:05:11,382";-10,31209944;-36,086495;SIRGAS2000;Definitiva;Vertical;0;0;0;MR;26;0;24;NM;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;PA-7                          ;;;14/09/2025
1-ALS-27-AL;081160244800;;1ALS 0027  AL;AL;Alagoas;Brasil;;;M;N;1;Pioneiro;PRODUTOR SUBCOMERCIAL DE GÁS NATURAL;ABANDONADO PERMANENTEMENTE;04/09/1983;28/10/1983;28/10/1983;Público;"	-10:22:28,436";"	-36:06:45,150";-10,37456556;-36,11254167;SIRGAS2000;Definitiva;Vertical;;;;MR;25;;28;NM;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;PA-7                          ;;;14/09/2025
1-ALS-28-AL;081160233600;;1ALS 0028  AL;AL;Alagoas;Brasil;;;M;N;1;Pioneiro;SECO SEM INDÍCIOS;ARRASADO;07/04/1983;22/05/1983;22/05/1983;Público;"	-10:16:40,272";"	-36:11:14,935";-10,27785333;-36,18748194;SIRGAS2000;Definitiva;Vertical;;;;MR;18;;15;NM;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;P-1;PETROBRAS I;;14/09/2025
1-ALS-3-AL;081160156600;;1ALS 0003  AL;AL;Alagoas;Brasil;;;M;N;1;Pioneiro;PRODUTOR SUBCOMERCIAL DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;18/12/1972;28/02/1973;28/02/1973;Público;"	-10:07:17,950";"	-35:55:53,631";-10,12165278;-35,93156417;SIRGAS2000;Definitiva;Vertical;;;;MR;24;;36;NM;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;PA-4                          ;;;14/09/2025
1-ALS-31-AL;081160711800;;1ALS 0031  AL;AL;Alagoas;Brasil;;;M;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;31/10/1983;07/12/1983;07/12/1983;Público;"	-09:42:58,213";"	-35:25:45,800";-9,716170278;-35,42938889;SIRGAS2000;Definitiva;Vertical;;;;MR;24,7;;46;NM;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;INTE                          ;;;14/09/2025
1-ALS-32-ALS;081160715000;Petrobras;1ALS 0032  AL;AL;Alagoas;A032;A032 ;ÁREA DO ALS032;M;N;1;Pioneiro;PRODUTOR SUBCOMERCIAL DE PETRÓLEO;ARRASADO;15/05/1985;06/08/1985;06/08/1985;Público;"	-10:36:22,849";"	-36:12:37,395";-10,60634694;-36,2103875;SIRGAS2000;Definitiva;Vertical;;;;MR;30;0;40;NM;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;JFP7                          ;;;14/09/2025
1-ALS-33-AL;081160303900;;1ALS 0033  AL;AL;Alagoas;Brasil;;;M;N;1;Pioneiro;SECO SEM INDÍCIOS;ARRASADO;03/01/1986;20/03/1986;20/03/1986;Público;"	-10:21:01,030";"	-36:02:39,530";-10,35028611;-36,04431389;SIRGAS2000;Definitiva;Vertical;;;;MR;26;;22;NM;;;;;;Existe;Existe;;;;Existe;;;;Existe;Existe;;;;;;Existe;PA30                          ;;;14/09/2025
1-ALS-34-AL;081160310100;;1ALS 0034  AL;AL;Alagoas;Brasil;;;M;N;1;Pioneiro;SECO SEM INDÍCIOS;ARRASADO;31/03/1986;11/07/1986;11/07/1986;Público;"	-10:21:31,669";"	-36:07:51,951";-10,35879694;-36,1310975;SIRGAS2000;Definitiva;Vertical;;;;MR;25;;25;NM;;;;;;Existe;Existe;;;;Existe;;;;Existe;Existe;;;;;;Existe;PA30                          ;;;14/09/2025
1-ALS-35-AL;081160316300;;1ALS 0035  AL;AL;Alagoas;Brasil;;;M;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;01/07/1986;24/10/1986;24/10/1986;Público;"	-09:58:28,765";"	-35:52:08,368";-9,974656944;-35,86899111;SIRGAS2000;Definitiva;Vertical;;;;MR;19,29999;;24;NM;;;;;;Existe;Existe;;;;Existe;;;;Existe;Existe;;;;;;Existe;PA-29;NORTH STAR I;;14/09/2025
